| Line | Previous Line Context | Lowercase Start Paragraph |
| :--- | :--- | :--- |
| 108 | Any adverse party may contest the grant of such authority at any time before judgment is rendered by | assessed and collected by the clerk of court. If payment is not made within the time fixed by the court, execution shall issue or the payment thereof,... |
| 316 | Section 5. *No amendment necessary to conform to or authorize presentation of evidence*. — When issu | be treated in all respects as if they had been raised in the pleadings. No amendment of such pleadings deemed amended is necessary to cause them to co... |
| 407 | Section 10. *Presumptive service*. — There shall be presumptive notice to a party of a court setting | the case is pending, or at least thirty (30) calendar days if the addressee is from outside the judicial region. (n)... |
| 495 | (c) By leaving copies of the summons, if refused entry upon making his or her authority and purpose  | corporation, or its chief security officer in charge of the community or the building where the defendant may be found; and... |
| 537 | Section 17. *Extraterritorial service*. — When the defendant does not reside and is not found in the | newspaper of general circulation in such places and for such time as the court may order, in which case a copy of the summons and order of the court s... |
| 575 | Section 4. *Non-litigious motions*. — Motions which the court may act upon without prejudicing the r | a) Motion for the issuance of an alias summons;... |
| 576 | a) Motion for the issuance of an alias summons; | b) Motion for extension to file answer;... |
| 577 | b) Motion for extension to file answer; | c) Motion for postponement;... |
| 578 | c) Motion for postponement; | d) Motion for the issuance of a writ of execution;... |
| 579 | d) Motion for the issuance of a writ of execution; | e) Motion for the issuance of an alias writ of execution;... |
| 580 | e) Motion for the issuance of an alias writ of execution; | f) Motion for the issuance of a writ of possession;... |
| 581 | f) Motion for the issuance of a writ of possession; | g) Motion for the issuance of an order directing the sheriff to execute the final certificate of sale; and... |
| 582 | g) Motion for the issuance of an order directing the sheriff to execute the final certificate of sal | h) Other similar motions.... |
| 645 | Section 1. *Dismissal upon notice by plaintiff*. — A complaint may be dismissed by the plaintiff by  | the merits when filed by a plaintiff who has once dismissed in a competent court an action based on or including the same claim. (1)... |
| 675 | 4. Reserve evidence not available at the pre-trial, but only in the following manner: | i. For testimonial evidence, by giving the name or position and the nature of the testimony of the proposed witness;... |
| 676 | i. For testimonial evidence, by giving the name or position and the nature of the testimony of the p | ii. For documentary evidence and other object evidence, by giving a particular description of the evidence.... |
| 817 | Section 2. *Scope of examination*. — Unless otherwise ordered by the court as provided by Section 16 | the subject of the pending action, whether relating to the claim or defense of any other party, including the existence, description, nature, custody,... |
| 873 | Section 19. *Submission to witness; changes; signing*. — When the testimony is fully transcribed, th | statement of the reasons given by the witness for making them. The deposition shall then be signed by the witness, unless the parties by stipulation w... |
| 889 | Section 26. *Officers to take responses and prepare record*. — A copy of the notice and copies of al | the notice, who shall proceed promptly, in the manner provided by Sections 17, 19 and 20 of this Rule, to take the testimony of the witness in respons... |
| 979 | Section 3. *Other consequences*. — If any party or an officer or managing agent of a party refuses t | order under Rule 27 to produce any document or other thing for inspection, copying, or photographing or to permit it to be done, or to permit entry up... |
| 1000 | (a) The schedule of the trial dates, for both plaintiff and defendant, shall be continuous and withi | i. The initial presentation of plaintiff's evidence shall be set not later than thirty (30) calendar days after the termination of the pre-trial confe... |
| 1001 | i. The initial presentation of plaintiff's evidence shall be set not later than thirty (30) calendar | ii. The initial presentation of defendant's evidence shall be set not later than thirty (30) calendar days after the court's ruling on plaintiff's for... |
| 1002 | ii. The initial presentation of defendant's evidence shall be set not later than thirty (30) calenda | iii. The period for the presentation of evidence on the third (fourth, etc.)-party claim, counterclaim or cross-claim shall be determined by the court... |
| 1003 | iii. The period for the presentation of evidence on the third (fourth, etc.)-party claim, countercla | iv. If deemed necessary, the court shall set the presentation of the parties' respective rebuttal evidence, which shall be completed within a period o... |
| 1041 | Section 9. *Judge to receive evidence; delegation to clerk of court*. — The judge of the court where | resolved by the court upon submission of his or her report and the transcripts within ten (10) calendar days from termination of the hearing. (9a)... |
| 1238 | (c) Garnishment of debts and credits. – The officer may levy on debts due the judgment obligor and o | to which the judgment obligor is entitled. The garnishment shall cover only such amount as will satisfy the judgment and all lawful fees.... |
| 1295 | Section 16. *Proceedings where property claimed by third person*. — If the property levied on is cla | property levied on. In case of disagreement as to such value, the same shall be determined by the court issuing the writ of execution. No claim for da... |
| 1309 | Section 20. *Refusal of purchaser to pay.* – If a purchaser refuses to pay the amount bid by him for | purchaser to pay into the court the amount of such loss, with costs, and may punish him for contempt if he disobeys the order. The amount of such paym... |
| 1356 | Section 34. *Recovery of price if sale not effective; revival of judgment*. — If the purchaser of re | judgment obligor. The judgment so revived shall have the same force and effect as an original judgment would have as of the date of the revival and no... |
| 1368 | Section 39. *Obligor may pay execution against obligee*. — After a writ of execution against propert | execution the amount of his debt or so much thereof as may be necessary to satisfy the judgment, in the manner prescribed in section 9 of this Rule, a... |
| 1384 | Section 45. *Entry of satisfaction with or without admission*. — Whenever a judgment is satisfied in | last preceding section, and after notice and upon motion the court may order either the judgment obligee or his counsel to do so, or may order the ent... |
| 1478 | Section 6. *Record on appeal; form and contents thereof*. — The full names of all the parties to the | final order from which the appeal is taken and, in chronological order, copies of only such pleadings, petitions, motions and all interlocutory orders... |
| 1545 | Section 1. *Scope*. — This Rule shall apply to appeals from judgments or final orders of the Court o | of Investments, Construction Industry Arbitration Commission, and voluntary arbitrators authorized by law. (n)... |
| 1699 | The petitioner shall also submit together with the petition affidavits of witnesses or documents sup | divisions thereof, or any other tribunal or agency; if there is such other action or proceeding, he must state the status of the same, and if he shoul... |
